,Total
0,25.447004
1,26.80592
2,27.028776
3,26.734315000000002
4,26.749716999999997
5,26.302328000000003
6,25.352223000000002
7,24.029011
8,25.822010000000002
9,25.671200999999996
10,25.559195
11,25.201682
12,25.41679
13,24.745554
14,24.760846
15,24.430474
16,26.945311
17,25.824286999999998
18,25.966707
19,24.882417
20,24.748188
21,26.111592
22,25.065514
23,23.279834
24,24.608897
25,25.171058
26,26.277171000000003
27,25.383437
28,24.718296000000002
29,22.382382999999997
30,23.096187
31,22.889962
32,23.929617
33,23.821498
34,24.935998
35,24.961751
36,25.825447
37,26.307648
38,26.278805
39,26.894483
40,27.159734999999998
41,26.029965999999998
42,23.584606
43,24.088776
44,25.176479999999998
45,25.822254
46,27.156953
47,27.770297999999997
48,27.791873
49,28.107373
50,26.21712
51,24.253451
52,23.542928
53,22.447635
54,22.636095
55,20.706443999999998
56,21.335297
57,21.960714
58,23.935349000000002
59,24.587474
60,25.991639
61,27.660581
62,25.922157000000002
63,29.166258
64,28.359488
65,27.805086000000003
66,28.482767000000003
67,28.628452
68,28.761177
69,28.531448
70,29.402027
71,27.901455
72,26.503957
73,26.445538
74,27.246684000000002
75,27.432758
76,26.907437
77,25.991982
78,25.990401
79,25.981643
80,27.261955
81,27.215742
82,27.027737000000002
83,30.645542000000003
84,30.626528
85,29.124252
86,29.003487
87,28.692238
88,28.536775
89,28.184092999999997
90,28.746745999999998
91,29.412498
92,27.563350999999997
93,27.835386
94,28.187329
95,28.706271
96,28.771486
97,28.144968
98,26.443396
99,27.295857
100,27.779198
101,26.534442
102,25.442016000000002
103,24.612591000000002
104,24.371537
105,21.299932
106,21.73687
107,21.093336
108,23.424262
109,22.836627
110,22.518494
111,23.360461
112,22.698392
113,23.420051
114,24.935991
115,25.519241
116,24.551059
117,25.023097
118,28.521461000000002
119,29.07598
120,29.937331
121,30.869537
122,29.160173
123,29.965154
124,29.772833
125,29.055525000000003
126,28.553122000000002
127,30.250099
128,29.490133
129,29.471603
130,29.710271
131,27.782043
132,30.868579
133,30.388552
134,29.323778
135,30.088808
136,30.082985
137,29.520271
138,31.054903000000003
139,31.883696999999998
140,31.956172000000002
141,33.139348
142,32.814917
143,30.736098
144,31.403443
145,31.640464
146,33.905346
147,33.283193
148,32.66008
149,33.242742
150,32.190343
151,32.377789
152,32.146198
153,31.994107
154,32.528596
155,31.523189000000002
156,30.962412
157,31.577021
158,30.259479
159,30.367193999999998
160,32.248475
161,32.89417
162,31.408799000000002
163,32.506099
164,32.156632
165,31.110464
166,31.076154000000002
167,30.941947
168,30.563053
169,30.282020000000003
170,29.796726
171,29.851502000000004
172,30.392027
173,30.685188
174,30.660489
175,31.430367
176,30.387917
177,28.575497
178,29.837146999999998
179,29.959243999999998
180,29.390873999999997
181,28.316181
182,26.847684
183,27.140499
184,25.792112
185,25.647921
186,25.952876
187,26.288912
188,25.317517000000002
189,23.558287
190,26.257038
191,26.273111
192,27.353897
193,28.642253000000004
194,29.267003
195,30.486916
196,29.63427
197,28.934679000000003
198,29.928453
199,29.678387
200,30.047179
201,30.973832
202,30.474626
203,30.707634
204,30.476035
205,29.505170999999997
206,28.915855
207,28.026891
208,29.440157999999997
209,29.603441
210,29.256814
211,29.178127
212,28.513314
213,29.56325
214,27.078615
215,27.28949
216,27.964926
217,26.645637
218,27.302168
219,25.967044
220,25.248443
221,23.849483
222,24.486064
223,24.852625
224,23.927605
225,24.154443
226,24.877952999999998
227,24.870832
228,25.697877
229,24.645926
230,25.186405
231,25.031264
232,22.975838
233,24.213984
234,23.559755000000003
235,24.244146
236,22.159766
237,24.756152999999998
238,28.005519
239,28.756335
240,26.444114
241,25.329585
242,25.598916
243,25.040625
244,24.798938
245,22.836429
246,24.278725
247,24.627126
248,24.387739000000003
249,23.931514
250,23.493594
251,21.874465
252,22.709677
253,22.524771
254,22.982562
255,23.352733999999998
256,28.28033
257,28.046223
258,29.138823000000002
259,29.052861
260,28.534007000000003
261,28.72383
262,28.270418
263,28.463942000000003
264,27.358044
265,28.729182
266,27.944914000000004
267,26.720462
268,25.877482999999998
269,24.630262000000002
270,24.745347
271,23.768221
272,24.75436
273,23.172789
274,22.269394
275,21.357552
276,22.269644
277,22.742342999999998
278,23.047998999999997
279,21.064824
280,21.664367
281,21.1544
282,24.202299
283,22.590671999999998
284,23.724999
285,24.082017
286,24.167887999999998
287,24.237395999999997
288,22.875625
289,24.65671
290,23.823844
291,23.060550999999997
292,23.64452
293,26.092473
294,24.42877
295,24.853104000000002
296,26.787511000000002
297,29.686728000000002
298,31.139255999999996
299,30.991746
300,32.05778
301,29.822114
302,30.076035
303,29.716228
304,27.022498
305,25.300823
306,24.064897000000002
307,24.2835
308,23.841917000000002
309,23.662793
310,24.170126
311,22.947062
312,22.307437999999998
313,22.98805
314,22.858278
315,23.682664000000003
316,24.853935
317,25.403919000000002
318,25.166857
319,22.294037
320,23.452365999999998
321,22.264293
322,21.047646999999998
323,21.183715
324,20.183631
325,20.62166
326,22.35531
327,22.692618
328,24.173515000000002
329,23.27909
330,23.770578999999998
331,22.751524
332,22.359117
333,20.633904
334,20.686585
335,21.204810000000002
336,21.512036000000002
337,23.067178
338,22.735920999999998
339,23.197304000000003
340,25.633873
341,27.176189
342,28.090218
343,29.797331
344,29.640655
345,29.265128999999998
346,29.782044
347,29.846493
348,29.977618
349,30.224922999999997
350,30.260463
351,30.596144000000002
352,29.957994
353,29.134314
354,28.590789
355,28.158547
356,28.49894
357,27.883834999999998
358,30.855235999999998
359,30.462028
360,30.812289
361,29.278553000000002
362,29.395184
363,27.562851000000002
364,30.053719
365,29.260360000000002
366,28.955748999999997
367,30.247515999999997
368,30.54505
369,29.834246
370,30.636288999999998
371,31.364634000000002
372,30.750788
373,29.419649
374,29.37637
375,29.970346
376,29.445321999999997
377,28.91931
378,30.935941999999997
379,30.487302999999997
380,29.627346
381,27.597430000000003
382,29.187998999999998
383,30.314849000000002
384,31.263194
385,31.020616999999998
386,29.240467
387,27.011063999999998
388,26.881932999999997
389,27.022463
390,25.846698
391,24.840277
392,24.799841999999998
393,23.71177
394,23.946658999999997
395,23.835921
396,24.741894000000002
397,25.205521
398,26.817109000000002
399,27.846395
400,28.680392
401,28.8447
402,29.307321
403,27.277874999999998
404,26.497965
405,27.673502
406,28.399106
407,29.879326999999996
408,30.193983
409,31.104705000000003
410,31.639310000000002
411,31.213868
412,31.674747
413,32.920480999999995
414,33.175734
415,33.135766000000004
416,32.920833
417,32.749566
418,33.102984
419,34.379207
420,34.181294
421,33.529534999999996
422,33.454037
423,34.839152
424,35.49619
425,36.099711
426,35.333944
427,35.408872
428,35.611188
429,36.704379
430,34.966009
431,35.808444
432,34.970960000000005
433,35.167196
